"bloco_pesquisa","marca","linha_modelo","sku_referencia","sku_ref","categoria_subcategoria","configuracao_formato","diametro_espessura","diametro_espessura_unidade","agulhas_pontas","pontas","taper","apresentacao","indicacao_de_aplicacao","indicacao_publicada_ou_uso_tecnico_conservador","indicacao_publicada_ou_cautela","presenca_comercial_no_brasil_especificacao_confirmada","presenca_no_brasil_especificacao","fonte_direta","linha_modelo_publicado","diametro","indicacao_publicada_ou_uso_conservador","diametro_espessura_agulhas_pontas_taper","apresentacao_publicada","configuracao_formato_diametro_espessura","agulhas_pontas_taper","indicacao_publicada_ou_cautela_tecnica","aplicacao_publicada_ou_indicacao_conservadora","especificacao_presenca_no_brasil","qtd_agulhas_pontas","diametro_espessura_quantidade_de_agulhas_pontas_taper","indicacao_do_fabricante_cautela","presenca_comercial_no_brasil_vs_especificacao"
"Cartuchos Cheyenne","Cheyenne","Craft — Liner","CART-818 a CART-822 (distribuidor; SKU individual por variante)","","Cartucho; liner","Round Liner: 3, 5, 7, 9, 13; configurações publicadas pelo distribuidor","#10 / 0,30 mm","","3, 5, 7, 9, 13","","não publicado na página consultada","Caixa estéril de 20; uso único","Linhas; uso usual, confirmar com fabricante","","","","","[Cheyenne Craft][1]; [Painful Pleasures — Craft][2]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Craft — Shader","CART-823 a CART-826","","Cartucho; round shader","Round Shader: 5, 7, 9, 13","#10 / 0,30 mm","","5, 7, 9, 13","","não publicado na página consultada","Caixa estéril de 20; uso único","Sombreamento; uso usual, confirmar com fabricante","","","","","[Painful Pleasures — Craft][2]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Craft — Magnum","CART-827, CART-828, CART-830, CART-832, CART-834","","Cartucho; magnum","Magnum: 5, 7, 9, 13, 17","7M: #10 / 0,30 mm; 5M/9M/13M/17M: #12 / 0,35 mm","","5, 7, 9, 13, 17","","Long Taper (4,5 mm) confirmado para variantes de soft-edge; taper do Magnum comum não publicado na fonte consultada","Caixa de 20","Preenchimento e packing; uso usual, confirmar com fabricante","","","","","[Ultimate — Craft Soft Edge][3]; [Painful Pleasures — Craft][2]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Craft — Magnum Soft Edge / Curved","CART-829, CART-831, CART-833, CART-835, CART-836","","Cartucho; magnum soft edge (curved)","7, 9, 13, 17, 23","7M e 23M: #10 / 0,30 mm; 9M/13M/17M: #12 / 0,35 mm","","7, 9, 13, 17, 23","","Long Taper, 4,5 mm","Caixa estéril de 20","Preenchimento suave e transições; uso usual, confirmar com fabricante","","","","","[Ultimate — Craft Soft Edge][3]; [Painful Pleasures — Craft][2]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Safety — Round Liner / Premium Liner","SKU Cheyenne não publicado nas páginas consultadas; distribuidor usa C20-RL","","Cartucho; liner, inclusive Premium Liner","1RL, 3RL, 5RL, 7RL, 9RL, 11RL, 13RL, 15RL; também variantes Textured, Power e Open Round publicadas em revenda","0,25; 0,30; 0,35; 0,40 mm; 0,20 mm aparece em Capillary, não confirmar para Safety sem ficha específica","","1 a 15 conforme configuração publicada","","Medium Taper, Super Long Taper; Premium Liner com taper mais longo; Textured e Power quando publicados","Caixa estéril individualizada de 20; uso único","Linhas e detalhes; uso usual, confirmar com fabricante","","","","","[Cheyenne Safety][4]; [Nordic — Safety RL][5]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Safety — Round Shader","SKU não publicado","","Cartucho; round shader","Linha Round Shader; configurações individuais e combinações completas não publicadas na página oficial consultada","0,25–0,40 mm é a faixa oficial da família; variante específica deve ser cadastrada só com ficha","","não publicado para o conjunto completo","","não publicado para o conjunto completo","Caixa de 20, estéril, individualizada","Sombreamento; uso usual, confirmar com fabricante","","","","","[Cheyenne Safety][4]; [Nordic — Safety RL][5]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Safety — Magnum","SKU não publicado","","Cartucho; magnum","Magnum padrão; a família oficial cobre de 1 liner até 67 magnum e inclui opções 0,25, 0,30, 0,35 e 0,40 mm","0,25–0,40 mm","","conforme variante; Big Magnum oficial: 33–67","","Diferentes comprimentos publicados pela família; variante individual deve trazer taper da ficha","Caixa de 20, estéril, individualizada","Packing, preenchimento e sombreamento; uso usual, confirmar com fabricante","","","","","[Cheyenne Safety][4]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Safety — Magnum Soft Edge / Curved","SKU não publicado; distribuidor TATSoul lista produto com variantes","","Cartucho; magnum soft edge curved","Curved/Soft Edge; TATSoul publica opções de 7, 9, 11, 13, 15, 17 e 23 em seu filtro/listagem, mas não tratar o filtro como tabela oficial completa","0,25–0,35 mm nas variantes verificadas por distribuidor; 0,40 mm só quando constar da ficha da variante","","conforme opção","","Long Taper aparece em variantes de distribuidor; demais tapers não publicados na fonte consultada","Caixa de 20","Sombreamento suave e transições; uso usual, confirmar com fabricante","","","","","[TATSoul — Cheyenne][6]; [Cheyenne Safety][4]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Safety — Textured Magnum / Textured Soft Edge","SKU não publicado","","Cartucho; magnum texturizado / curved","Textured Magnum e Textured Soft Edge aparecem como linhas comerciais distintas","0,30 e 0,35 mm aparecem em variantes de distribuidor; não generalizar para toda a linha","","conforme variante","","não publicado de modo completo","Caixa de 20","Textura, whip/soft shading; uso usual, confirmar com fabricante","","","","","[TATSoul — Cheyenne][6]; [Cheyenne Safety][4]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Safety — Open Liner","SKU não publicado","","Cartucho; liner especial","Open Liner; opções de 5 e 7 são publicadas para Capillary, enquanto Safety confirma a existência da variação, mas não a matriz completa nesta consulta","não publicado por variante Safety consultada","","não publicado por variante Safety consultada","","não publicado","Caixa de 20 quando comercializada","Linhas abertas/fluxo visual específico; uso usual, confirmar com fabricante","","","","","[Cheyenne Safety][4]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Safety — Power Liner","SKU não publicado","","Cartucho; power liner","Power Liner; variantes 7RL e 9RL em 0,40 mm são publicadas pela Nordic","0,40 mm","","7 e 9","","Super Long Taper","Caixa estéril de 20","Linhas mais encorpadas; uso usual, confirmar com fabricante","","","","","[Nordic — Safety RL][5]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Capillary — Round Liner / Premium Liner","CART-672 (SKU do distribuidor; não é SKU do fabricante)","","Cartucho com reservatório capilar; liner","1RL: 0,20, 0,25, 0,30, 0,35, 0,40; 3RL: 0,25 e 0,30; 5RL: 0,25 e 0,30; 7RL: 0,25 e 0,30; 9RL: 0,30; 11RL: 0,35; 15RL: 0,30","#6 / 0,20; #8 / 0,25; #10 / 0,30; #12 / 0,35; #14 / 0,40 mm","","1, 3, 5, 7, 9, 11, 15","","Super Long Taper, 5,5 mm","Caixa estéril de 20","Linhas precisas e omnidirecionais; fabricante informa até 10× mais fluxo de tinta e distribuição uniforme","","","","","[Cheyenne Capillary][7]; [Ultimate — Capillary RL][8]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Capillary — Open Round Liner","não publicado","","Cartucho com reservatório capilar; open liner","5RL #10 / 0,30; 7RL #12 / 0,35; variantes publicadas pela Ultimate","0,30 e 0,35 mm","","5 e 7","","Super Long Taper, 5,5 mm","Caixa de 20","Linhas abertas; uso usual, confirmar com fabricante","","","","","[Ultimate — Capillary RL][8]","","","","","","","","","","","","","",""
