"source_block","brand","product_line_model","source_sku_reference","category","configuration_family","configuration_raw","needle_diameter_mm","needle_diameter_raw","needle_count","needle_count_raw","taper","presentation","application","brazil_market_evidence","source_reference","variant_level","data_status","sort_category","sort_brand","sort_line","sort_configuration","sort_count","sort_diameter"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","CUP INK GLUE","não publicado","Adesivo para copos/batoques","","não aplicável; massa de 50 g","","","","","","1 embalagem de 50 g","Fixação de copos à superfície/bandeja; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","adesivo para copos/batoques","kwadron","cup ink glue","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Deluxe Tattoo Balm 1 fl oz","não publicado na página consultada","Bálsamo pós-tatuagem","","Pote/embalagem de 1 fl oz","","","","","","1 fl oz, versão travel-ready","Fabricante posiciona como balm para cuidado de tatuagem; indicação conservadora: hidratação/proteção cosmética durante recuperação, confirmar com fabricante","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","bálsamo pós-tatuagem","hustle butter","deluxe tattoo balm 1 fl oz","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Deluxe Tattoo Balm 5 fl oz","não publicado na página consultada","Bálsamo pós-tatuagem","","Pote de 5 fl oz","","","","","","5 fl oz","Cuidado cosmético da tatuagem durante e após a sessão conforme categorização oficial; não registrar como medicamento","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","bálsamo pós-tatuagem","hustle butter","deluxe tattoo balm 5 fl oz","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Fragrance-Free Tattoo Balm 1 fl oz","não publicado na página consultada","Bálsamo pós-tatuagem sem fragrância","","Pote de 1 fl oz","","","","","","1 fl oz","Bálsamo sem fragrância para cuidado de tatuagem; uso usual, confirmar com fabricante para protocolo individual","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","bálsamo pós-tatuagem sem fragrância","hustle butter","fragrance-free tattoo balm 1 fl oz","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Fragrance-Free Tattoo Balm 5 fl oz","não publicado na página consultada","Bálsamo pós-tatuagem sem fragrância","","Pote de 5 fl oz","","","","","","5 fl oz","Bálsamo sem fragrância para cuidado de tatuagem; uso usual, confirmar com fabricante","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","bálsamo pós-tatuagem sem fragrância","hustle butter","fragrance-free tattoo balm 5 fl oz","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Tattoo Goo","Tattoo Balm","não publicado na página consultada","Bálsamo/pomada pós-tatuagem","","Bálsamo","","","","","","Não publicado","Uso usual, confirmar com fabricante: hidratação/proteção de tatuagem em recuperação; não registrar como indicação terapêutica","Existência da linha confirmada; especificação detalhada e presença no Brasil não confirmadas","","família/modelo","Pendente de validação de SKU","bálsamo/pomada pós-tatuagem","tattoo goo","tattoo balm","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Clear Cut Trays","não publicado","Bandeja/conjunto de copos de corte","","bandeja transparente; medidas não publicadas","","","","","","600 unidades","Organização de copos e pigmentos; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","bandeja/conjunto de copos de corte","kwadron","clear cut trays","999","999","00099"
"Máquinas, grips, fontes, baterias e cabos","Peak","Forge-C 3.5 mm Battery","não publicado","Bateria sem fio com saída 3,5 mm","","variante de conector 3,5 mm mencionada na ficha do Forge-C","","aproximadamente 50 mm × 32 mm, se a carcaça for a mesma; confirmar no SKU específico","","não aplicável","não aplicável","unidade; cores e SKU não publicados na ficha consultada","alimentação sem fio; uso usual, confirmar com fabricante para conexão e compatibilidade","existência/variante confirmada na ficha do distribuidor; presença comercial no Brasil não confirmada","C&S Tattoo Supply — Peak RCA Battery","família/modelo","Referência técnica — validar Brasil/SKU","bateria sem fio com saída 3,5 mm","peak","forge-c 3.5 mm battery","999","999","00099"
"Máquinas, grips, fontes, baterias e cabos","Peak","Forge-C RCA Battery","não publicado","Bateria sem fio com saída RCA","","carcaça de alumínio; jack RCA padrão; jumpstart inicial em 9 V; há variante com jack 3,5 mm","","aproximadamente 50 mm altura × 32 mm largura","","não aplicável","não aplicável","unidade; cor preta na ficha consultada","alimentação sem fio para máquina com RCA; uso usual, confirmar com fabricante para a variante de 3,5 mm","especificação confirmada por distribuidor reconhecido; presença comercial no Brasil não confirmada","C&S Tattoo Supply — Peak RCA Battery","família/modelo","Referência técnica — validar Brasil/SKU","bateria sem fio com saída rca","peak","forge-c rca battery","999","999","00099"
"Máquinas, grips, fontes, baterias e cabos","Bishop/Critical","Advanced Battery Shorty","não publicado","Bateria sem fio compacta","","bateria magnética Shorty","","não publicado","","não aplicável","não aplicável","unidade ou incluída no Full Set","alimentação sem fio em configuração compacta; autonomia publicada entre “até 4 h” e “5 h” na mesma página; confirmar lote/manual","especificação confirmada; presença comercial no Brasil não confirmada","Bishop Power Wand Advanced","família/modelo","Referência técnica — validar Brasil/SKU","bateria sem fio compacta","bishop/critical","advanced battery shorty","999","999","00099"
"Máquinas, grips, fontes, baterias e cabos","Bishop/Critical","Advanced Battery Standard","não publicado","Bateria sem fio para Power Wand","Power","bateria com conexão magnética; compatível com Power Wand original e Advanced, segundo fabricante","","não publicado","","não aplicável","não aplicável","unidade ou incluída no Full Set","alimentação sem fio; autonomia publicada varia na própria página entre “até 6 h” e descrição comercial de até 9 h; cadastrar o valor do manual/embalagem recebido","especificação confirmada; presença comercial no Brasil não confirmada","Bishop Power Wand Advanced","família/modelo","Referência técnica — validar Brasil/SKU","bateria sem fio para power wand","bishop/critical","advanced battery standard","090","999","00099"
"Máquinas, grips, fontes, baterias e cabos","Critical","Connect V2 Universal Battery","não publicado","Bateria universal sem fio","","bateria Critical Connect; tecnologia Bluetooth 5.0; variante Universal","","capacidade, dimensões, peso e autonomia não publicados na página oficial consultada","","não aplicável","não aplicável","unidade; também em bundles com dock duplo/quádruplo","alimentação sem fio; confirmar compatibilidade mecânica/elétrica com a máquina específica","existência no fabricante confirmada; presença comercial no Brasil não confirmada","Critical Tattoo","família/modelo","Referência técnica — validar Brasil/SKU","bateria universal sem fio","critical","connect v2 universal battery","999","999","00099"
"Máquinas, grips, fontes, baterias e cabos","Critical","Connect V2 Universal Shorty Battery","não publicado","Bateria universal sem fio compacta","","versão Shorty da Connect V2; Bluetooth 5.0","","capacidade, dimensões, peso e autonomia não publicados","","não aplicável","não aplicável","unidade; também em bundles","alimentação sem fio compacta; confirmar compatibilidade com a máquina específica","existência no fabricante confirmada; presença comercial no Brasil não confirmada","Critical Tattoo","família/modelo","Referência técnica — validar Brasil/SKU","bateria universal sem fio compacta","critical","connect v2 universal shorty battery","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Cups on a stand BLACK","não publicado","Batoque com base","","formato com base; medidas não publicadas","","","","","","1.000 unidades; preto","Organização de múltiplas cores; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque com base","kwadron","cups on a stand black","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Ink cups on a stand Transparent","não publicado","Batoque com base","","formato com base; medidas não publicadas","","","","","","1.000 unidades; transparente","Organização de múltiplas cores; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque com base","kwadron","ink cups on a stand transparent","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Ink cups with a stand","não publicado","Batoque com base","","formato com suporte; medidas não publicadas","","","","","","100 unidades","Manter o copo apoiado e reduzir tombamento; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque com base","kwadron","ink cups with a stand","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar Silicone cups on a stand","não publicado","Batoque de silicone com base; Unistar","","circular; 13 mm","","","","","","100 unidades","Uso em bancada com suporte integrado; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque de silicone com base; unistar","kwadron","unistar silicone cups on a stand","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar Silicone cups on a stand","não publicado","Batoque de silicone com base; Unistar","","circular; 8 mm","","","","","","100 unidades","Uso em bancada com suporte integrado; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque de silicone com base; unistar","kwadron","unistar silicone cups on a stand","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Silicone cups for the stand","não publicado","Batoque de silicone para suporte","","circular; 8 mm","","","","","","100 unidades","Uso em suporte compatível; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque de silicone para suporte","kwadron","silicone cups for the stand","999","999","00099"
